Employer,City,Zip Code,LWIB Area,Notice Date
GT Advanced Technologies  ,Mesa  ,85212  ,7  ,10/16/2014 
Guardian Building Products  ,Greer  ,29651  ,11  ,10/15/2012 
"Guess?, Inc  ",Glendale  ,85305  ,7  ,04/13/2020 
"Haggen, Inc.  ",Irvine  ,92618  ,6  ,08/14/2015 
"Haggen, Inc.  ",Irvine  ,92618  ,6  ,08/14/2015 
"Haggen, Inc.  ",Irvine  ,92618  ,7  ,08/14/2015 
"Haggen, Inc.  ",Irvine  ,92618  ,10  ,08/14/2015 
"Haggen, Inc.  ",Irvine  ,92618  ,12  ,08/14/2015 
"Hanjin Shipping America, LLC  ",Chandler  ,85224  ,7  ,10/12/2016 
Hard Rock Cafe International  ,Phoenix  ,85004  ,5  ,12/28/2019 
Hawker Beechcraft Corporation  ,Witchita  ,67206  ,7  ,11/14/2012 
Hawrhorne Gardening  ,Chandler  ,85226  ,7  ,06/06/2018 
"Healthways, Inc.  ",Phoenix  ,85044  ,7  ,11/16/2011 
Heracus Materials Technology North America LLC  ,Chandler  ,85226  ,7  ,03/01/2013 
Hertz  ,Phoenix  ,85034  ,7  ,04/29/2020 
Hexcel  ,Casa Grande  ,85122  ,2003  ,04/20/2020 
Highway Technologies  ,Houston  ,77002  ,7  ,05/17/2013 
Hilton El Conquistador  ,Tucson  ,85704  ,6  ,04/03/2020 
Hines Nurseries  ,Chino Valley  ,86323  ,12  ,10/06/2010 
HMS Host (Sky Harbor International Airport)  ,Phoenix  ,85034  ,5  ,03/31/2020 
HMSHost  ,Phoenix  ,85034  ,5  ,10/29/2012 
Holiday Inn Hotels  ,Yuma  ,85364  ,9  ,03/31/2020 
Hometown America  ,Apache Junction  ,85219  ,6  ,05/31/2011 
Hostess Brand Inc.  ,Flagstaff  ,860044216  ,10  ,05/04/2012 
"Hostess Brand, Inc.  ",Chandler  ,852251125  ,7  ,05/04/2012 
"Hostess Brand, Inc.  ",Payson  ,85901  ,2  ,05/04/2012 
"Hostess Brand, Inc.  ",Lake Havasu City  ,864042401  ,11  ,05/04/2012 
"Hostess Brands, Inc.  ",Kingman  ,86401  ,11  ,05/04/2012 
"Hostess Brands, Inc.  ",Showlow  ,85901  ,14  ,05/04/2012 
"Hostess Brands, Inc.  ",Tucson  ,857055930  ,6  ,05/04/2012 
"Hostess Brands, Inc.  ",Casa Grande  ,852225203  ,2  ,05/04/2012 
"Hostess Brands, Inc.  ",Chino Valley  ,86323  ,12  ,05/04/2012 
"Hostess Brands, Inc.  ",Yuma  ,853648540  ,9  ,05/04/2012 
"Hostess Brands, Inc.  ",Ehrenberg  ,85334  ,11  ,05/04/2012 
"Hostess Brands, Inc.  ",Mesa  ,852038033  ,7  ,05/04/2012 
"Hostess Brands, Inc.  ",Phoenix  ,850221107  ,7  ,05/04/2012 
"Hostess Brands, Inc.  ",Phoenix  ,850094720  ,7  ,05/04/2012 
"Hostess Brands, Inc.  ",Phoenix  ,850408810  ,7  ,05/04/2012 
"Hostess Brands, Inc.  ",Fort Mohave  ,86426  ,11  ,05/04/2012 
"Hostess Brands, Inc.  ",Globe  ,85901  ,2  ,05/04/2012 
"Hostess Brands, Inc.  ",Benson  ,856026306  ,1  ,05/04/2012 
HotChalk  ,Phoenix  ,85034  ,5  ,02/25/2020 
Hualapai Mountain Medical Center  ,Kingman  ,86401  ,11  ,08/26/2011 
Huhtamaki  ,Googyear  ,85338  ,7  ,04/16/2020 
