Company,City,Effective Date,Workforce Affected
Dollar Express - Pleasantville,Pleasantville,6/30/2017,9
Dollar Express - Vineland,Vineland,6/30/2017,7
Dollar Express- East Orange,East Orange,6/30/2017,11
Gannett Satellite Information Network - Freehold,Freehold Township,6/4/2017,213
"Pochet of America, Inc.",Wayne,6/30/2017,30
"Retail Logistics, LLC",Wayne,6/19/2017,68
"Ricoh USA, Inc.",West Caldwell,6/2/2017,77
The GEO Company,Boca Raton,6/4/2017,84
AXEON,Paulsboro,5/1/2017,115
Altice,Edison,5/22/2017,64
Community Education Centers,Newark,5/31/2017,166
Express Scripts,Franklin Lakes,4/21/2017,66
Hub City Distributing Company,Lawrenceville,4/30/2017,101
"NRG Energy, Inc.",Wall,6/23/2017,65
Quidsi,Jersey City,6/2/2017,263
SGS,Mawah,5/22/2017,37
VALID USA,So. Plainfield,3/31/2017,76
Walgreen Co,Swedesboro,5/24/2017,133
Warren Distributing Company,Blue Anchor,4/30/2017,128
"Crowne Architectural Systems, Inc.",North Bergen,4/18/2017,200
"Gannett Satelilite Information Network, LLC",Woodland Park,3/25/2017,125
"Gannett Satellite Information Network, LLC",Rockaway,3/25/2017,16
Impax Laboratories,Middlesex,3/15/2017,207
Intercapital Services North America LLC / NEX Group,Jersey City,4/24/2017,0
PHH Mortgage Corporation,Mount Laurel,3/13/2017,33
Comcast Cable,West Deptford,6/16/2017,88
"Community Access Unlimited, Inc.",Cranford,3/31/2017,98
"General Mills, Inc. (Progresso Soup)",Vineland,3/24/2017,338
Macy's,Moorestown,3/19/2017,117
Ophthotech Corporation,Princeton,3/17/2017,69
PrintBuyer LLC dba Zoo Printing,West Deptford,3/31/2017,65
"Transdev Services, Inc.",Union,3/31/2017,64
Bristol-Myers Squibb,Hopewell,2/13/2017,2
Bristol-Myers Squibb,Pennington,2/13/2017,2
Aphena Pharma Solutions,Whippany,3/17/2017,70
Interim Healthcare,Hamilton,1/24/2017,101
Interim Healthcare,Voorhees,1/24/2017,101
"Kenco Logistic Services, LLC",Robbinsville,1/29/2017,466
"HAIER AMERICA COMPANY, LLC",WAYNE,12/31/2016,97
"Hanjin Shipping America, LLC",Paramus,9/30/2016,127
"Meda Pharmaceuticals, Inc.",Somerset,12/31/2016,94
"A Q L Decorating Company, Inc.",Fairview,11/28/2016,98
"Aeropostale, Inc.",Lyndhurst,11/8/2016,105
"Gannett Satellite Information Network, LLC",Woodland Park,11/15/2016,426
Merck,Kenilworth,11/14/2016,64
Tyco International Management Company,Princeton,1/2/2017,6
Tyco International Management Company,Princeton,12/1/2016,4
"Veltri, Inc.",Kearny,10/31/2016,77
"Graham PackagingCompany, L.P.",Belvidere,9/26/2016,71
Hard Rock Cafe,Atlantic City,10/5/2016,105
I L Mulino,Atlantic City,10/10/2016,60
"OKI Data Americas, Inc.",Mt. Laurel,9/30/2016,38
"Qualcomm Atheros, Inc.",Red Bank,9/23/2016,76
State Farm Mutual Automobile Insurance Company,Parsippany,10/31/2016,77
"Trump Taj Mahal Assoc, LLC",Atlantic City,10/10/2016,2848
"Chanel, Inc",Piscataway,9/30/2016,75
Community Development Institute Head Start,Newark,8/31/2016,237
Family Promise of Passaic County,Passaic,7/31/2016,5
First Student,Cologne,8/11/2016,65
"Heyco Products, Inc.",Toms River,9/30/2016,107
Jordan Transportation,Parsippany,8/30/2016,81
"Kenco Logistic Services, LLC",Robbinsville,9/18/2016,415
Acuity Brands Lighting,Edison,8/16/2016,168
Inspira Medical Center,Millville,8/10/2016,23
Inspira Medical Center,Bridgeton,8/10/2016,22
Inspira Medical Center,Vineland,8/10/2016,22
Meridian Services Group,Hamilton,6/30/2016,97
Saks Fifth Avenue,Short Hills,9/10/2016,137
Sisters of Charity of Saint Elizabeth/Saint Anne Villa,Florham Park,8/1/2016,135
VALID USA,So. Plainfield,7/8/2016,144
Graphic Packaging,Piscataway,7/16/2016,117
"Hennes and Mauritz, L. P.",North Arlington,7/30/2016,156
"Sports Authority, Inc. - New Jersey Distribution Center #843",Burlington,6/10/2016,88
Colgate-Palmolive,Morristown,6/15/2016,300
Precision Motor Transport Group LLC,Jersey City,6/30/2016,69
Unilever United States In,Englewood Cliffs,6/30/2016,106
Mother Teresa Regional School,Atlantic Highlands,6/30/2016,24
Royal Ingredients LLC,Swedesboro,5/20/2016,80
"Airway Cleaners, LLC",Rockville Centre,4/15/2016,81
Cadbury Senior Lifestyles,Cherry Hill,4/30/2016,255
"Enclara Health, LLC",West Deptford,5/1/2016,100
Inspira Health Network,Vineland,4/25/2016,105
Kmart Corporation,Lodi,4/17/2016,75
New York Life Insurance Company,Parsippany,2/17/2017,2
New York Life Insurance Company,Lebanon,7/22/2016,68
St. Francis Life Care Corporation (dba Franciscan Oaks),Denville,4/30/2016,257
The Hertz Corporation,Park Ridge,3/31/2016,63
"Reiss Manufacturing, Inc.",Englishtown,3/21/2016,125
"Cosmetic Esssence, LLS",Edison,2/1/2016,100
"Daiichi Sankyo, Inc.",Parsippany,2/10/2016,24
BASF Corporation,Florham Park,1/15/2016,92
Barnabas Health,West Orange,12/31/2015,700
"Haier America Trading, LLC",Wayne,12/31/2015,137
IDT Corporation,Piscataway,1/4/2016,84
Manufacturers and Traders Trust Company (dba,Buffalo,1/8/2016,366
Argix Logistics,Jamesburg,10/5/2015,164
Bishop McCarthy Residence Inc.,Vineland,12/1/2015,50
Our Lady's Residence,Pleasantville,12/1/2015,50
St. Mary's Catholic Home,Cherry Hill,12/1/2015,50
The Great Atlantic and Pacific Tea Company (3),Montvale,12/18/2015,187
Coperion Ktron,Ramsey,10/31/2015,34
MetLife,Somerset,10/31/2015,136
"The Great Atlantic and Pacific Tea Company, Inc. (2)",Montvale,11/23/2015,319
