Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Closing *,3/16/2009,5/17/2009,FOOD MAX,Oxford,50
Closing *,3/16/2009,5/17/2009,FOOD MAX,Northport,58
Closing *,2/16/2009,5/15/2009,"GRAPHIC PACKAGING INTERNATIONAL, INC.",Tuscaloosa,87
Closing *,2/25/2009,2/26/2009,"RUSSELL CORP., COOSA RIVER YARN PLANT",Wetumpka,138
Closing *,2/25/2009,2/23/2009,"WEYERHAEUSER CO., CASTLEBERRY",Castleberry,71
Closing *,2/20/2009,5/22/2009,GERBER CHILDRENSWEAR LLC,Evergreen,77
Closing *,2/19/2009,4/20/2009,LOPAREX LLC,Cullman,78
Layoff *,2/17/2009,4/17/2009,SCOTCH LUMBER COMPANY,Fulton,143
Closing *,8/17/2009,12/2/2011,CR COMPRESSORS LLC,Hartselle,149
Closing *,12/28/2009,2/27/2010,SITEL,Winfield,302
Layoff *,12/19/2009,1/31/2010,LOCKHEED MARTIN CORPORATION,Huntsville,63
Closing *,11/19/2009,1/18/2010,"NEW ERA CAP CO., INC.",Jackson,320
Closing *,10/4/2009,11/30/2009,VISTEON CORPORATION,Tuscaloosa,
Layoff *,8/14/2009,11/27/2010,"BAE SYSTEMS, USCS-ANNISTON",Anniston,102
