NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,
29-Apr-16,Freeport-McMoRan Oil & Gas-Texas St.,Harris,Gulf Coast WDA,54,01-Jul-16,29-Apr-16,Houston,
29-Apr-16,Freeport-McMoran Oil & Gas-(MMR),Harris,Gulf Coast WDA,10,01-Jul-16,29-Apr-16,Houston,
27-Apr-16,CSM Bakery Products,Fort Bend,Gulf Coast WDA,163,01-Oct-16,28-Apr-16,Sugar Land,
26-Apr-16,Boeing Company,Harris,Gulf Coast WDA,8,24-Jun-16,26-Apr-16,Houston,
22-Apr-16,"Mile Hi Specialty Foods, Inc.",Dallas,Dallas County WDA,148,25-Jun-16,22-Apr-16,Dallas,
22-Apr-16,VSE Corporation-Red River DPW,Bowie,North East Texas WDA,94,16-Jun-16,22-Apr-16,Texarkana,
14-Apr-16,Phoenix House-Humble,Harris,Gulf Coast WDA,97,01-May-16,14-Apr-16,Humble,
14-Apr-16,Phoenix House-Houston,Harris,Gulf Coast WDA,57,01-May-16,14-Apr-16,Houston,
13-Apr-16,Mount Vernon Mills - Cuero Plant,Dewitt,Golden Crescent WDA,280,12-Jun-16,14-Apr-16,Cuero,
13-Apr-16,"Seadrill Americas, Inc.",Harris,Gulf Coast WDA,112,01-May-16,14-Apr-16,Houston,
12-Apr-16,Mercer (US) Inc.,Harris,Gulf Coast WDA,71,30-Jun-16,12-Apr-16,Houston,
11-Apr-16,Union Tank Car Co.-Houston,Harris,Gulf Coast WDA,230,10-Jun-16,11-Apr-16,Houston,
08-Apr-16,"Emerald Correctional Management, LLC-Rolling Plains",Haskell,West Central WDA,134,09-Jun-16,08-Apr-16,Haskell,
08-Apr-16,Western Container Corp.,Howard,Permian Basin WDA,97,01-Jul-16,08-Apr-16,Big Spring,
07-Apr-16,Red River Army Depot - AECOM- New Boston,Bowie,North East Texas WDA,857,19-May-16,07-Apr-16,New Boston,
07-Apr-16,Select Medical - SSH Houston,Harris,Gulf Coast WDA,175,02-Jun-16,07-Apr-16,Houston,
07-Apr-16,Chevron-Two Allen Center,Harris,Gulf Coast WDA,163,13-Jun-16,07-Apr-16,Houston,
07-Apr-16,"Chevron USA, Inc.",Harris,Gulf Coast WDA,164,13-Jun-16,07-Apr-16,Houston,
07-Apr-16,Chevron-Smith St.,Harris,Gulf Coast WDA,164,13-Jun-16,07-Apr-16,Houston,
07-Apr-16,"Chevron USA, Inc. - Houston2",Harris,Gulf Coast WDA,164,13-Jun-16,07-Apr-16,Houston,
05-Apr-16,"Goss International Americas, LLC",Tarrant,Tarrant County WDA,54,17-Jun-16,05-Apr-16,Kennedale,
04-Apr-16,CompuCom Systems Inc.,Dallas,Dallas County WDA,87,03-Jun-16,04-Apr-16,Dallas,
04-Apr-16,Ventech Engineers International,Harris,Gulf Coast WDA,96,03-Jun-16,04-Apr-16,Pasadena,
01-Apr-16,NetVersant Solutions LLC,Harris,Gulf Coast WDA,43,30-May-16,01-Apr-16,Houston,
01-Apr-16,Science Applications International Corp - Ft. Bliss,El Paso,Upper Rio Grande WDA,65,01-Apr-16,01-Apr-16,Fort Bliss,
31-Mar-16,DuPont-La Porte,Harris,Gulf Coast WDA,17,31-May-16,01-Apr-16,La Porte,
31-Mar-16,"Schenker, Inc.",El Paso,Upper Rio Grande WDA,9,01-Jul-16,31-Mar-16,El Paso,
31-Mar-16,Maersk Oil Houston,Harris,Gulf Coast WDA,57,31-Mar-16,31-Mar-16,Houston,
30-Mar-16,"Exterran Energy Solutions, LP - Alleyton",Colorado,Gulf Coast WDA,241,31-Mar-16,30-Mar-16,Alleyton,
