ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900431,The Family Y of the CSRA,WRENS,30833,Jefferson,19,13,03/25/2020
GA201900432,tHE FAMILY Y OF THE CSRA,GROVETOWN,30813,Columbia,48,13,03/25/2020
GA201900433,THE FAMILYY OF THE CSRA,THOMSON,30824,McDuffie,49,13,03/25/2020
GA201900437,Apple American Group II LLC,Perry,31069,Peach,54,11,04/13/2020
GA201900442,IHG Army Hotels,Fort Benning,31905,Chattahoochee,53,14,04/03/2020
GA201900443,"Hooters of America, LLC",Atlanta,30339,Cobb,414,4,03/16/2020
GA201900445,Tech Posse Inc,Acworth,30102,Cherokee,7,7,01/01/2020
GA201900448,"The Finish Line, Inc.",Athens,30606,Clarke,13,9,04/12/2020
GA201900449,"The Finish Line, Inc.",Macon,31206,Bibb,10,10,04/12/2020
GA201900450,"The Finish Line, Inc.",Douglasville,30135,Douglas,28,7,04/12/2020
GA201900451,"The Finish Line, Inc.",Lithonia,30038,Dekalb,19,5,04/12/2020
GA201900452,Inspire Restaurant Group LLC,Atlanta,30312,Fulton,30,3,03/15/2020
GA201900453,"The Finish Line, Inc.",Gainesville,30501,Hall,12,2,04/12/2020
GA201900454,"The Finish Line, Inc.",Centerville,31028,Houston,21,11,04/12/2020
GA201900455,"The Finish Line, Inc.",Commerce,30529,Jackson,18,9,04/12/2020
GA201900456,"The Finish Line, Inc.",Lawrenceville,30043,Gwinnett,19,7,04/12/2020
GA201900457,"The Finish Line, Inc.",Atlanta,30326,Cobb,31,4,04/01/2020
GA201900458,"The Finish Line, Inc.",Atlanta,30346,Cobb,15,4,04/01/2020
GA201900459,"The Finish Line, Inc.",Alpharetta,30022,Fulton,4,3,04/01/2020
GA201900460,"The Finish Line, Inc.",Buford,30519,Gwinnett,12,7,04/01/2020
GA201900461,"The Finish Line, Inc.",Augusta,30909,Richmond,5,12,04/01/2020
GA201900462,"The Finish Line, Inc.",Savannah,31406,Chatham,2,20,04/01/2020
GA201900463,"The Finish Line, Inc.",Kennesaw,30144,Cobb,9,4,04/01/2020
GA201900464,"The Finish Line, Inc.",Atlanta,30339,Cobb,15,4,04/01/2020
GA201900465,"The Finish Line, Inc.",Morrow,30260,Clayton,16,7,04/01/2020
GA201900466,"The Finish Line, Inc.",Kennesaw,30144,Cobb,24,4,04/12/2020
GA201900467,"The Finish Line, Inc.",Alpharetta,30022,Fulton,11,3,04/12/2020
GA201900470,"The Finish Line, Inc.",Augusta,30909,Richmond,21,12,04/12/2020
GA201900471,"The Finish Line, Inc.",Savannah,31406,Chatham,14,20,04/12/2020
GA201900472,"The Finish Line, Inc.",Morrow,30260,Clayton,15,7,04/12/2020
GA201900473,"The Finish Line, Inc.",Atlanta,30339,Cobb,30,4,04/12/2020
GA201900474,"The Finish Line, Inc.",Burford,30519,Gwinnett,40,7,04/12/2020
GA201900475,Aqua Salon and Spa LLC,Martinez,30907,Columbia,8,13,03/28/2020
