Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
"Sandoz Inc., A Novartis Division (Update)",24,Broomfield,1/7/19 & 4/6/2020,Closure,,
Sandoz/Novartis (2nd Wave of Layoffs),116,Broomfield,2/11/2019,Closure,,
Schneider National Carriers Inc.,119,Arapahoe/Douglas,2/15/2018,Other - Loss of Contract,,
Scottrade - Ameritrade,63,Adams,1/18/2018,Other,,
Scottrade - Ameritrade,10,Adams,5/3/2018,Downsize,,
Spectrum Pharmaceuticals,3,Denver,2/13/2019,Divesting Product line/Sale to Acrotech Biopharma,,
St. Mary Corwin Medical Center,272,Pueblo,3/8/2018,Downsize,,
Startek,261,Pikes Peak,1/31/2018,Downsize,,
Startek Inc.,186,Weld,8/17/2018,Reduction in Force,,
The Cheesecake Factory,96,Boulder,10/24/2018,Closure,,
The Inn at Cherry Creek,18,Denver,1/2/2019,Closure (Temporary 18-24 mo),,
Wells Fargo/Consumer Lending Group Home Equity Fullfillment Group,53,Pikes Peak,8/23/2018,Closure of Unit,,
Westrock,61,Arapahoe/Douglas,3/25/2019,Closure,,
"WideOpenWest Networks LLC and WideOpenWest Illinois, LLC",203,Colorado Springs,1/9/2019,Downsize,,
Williams Field Services Group LLC,Unknown,Rural (Durango),7/31/2018,Selling assets,,
Albertsons Store #1886,72,Mesa,3/20/2017,Closure,,
All Aboard -Recinded on 3/31/17,117,Adams,1/30/2017,Loss of Contract,,
All Aboard Transit Services - Resubmission 07/27/2017,Unknown - Previous submission 117,Adams,7/27/2017,Loss of Contract,,
Alorica,288,Pikes Peak,10/30/2017,Closure,,
CA Concessions of Colorado,52,Denver,12/4/2017,Loss of Contract/Downsize,,
Cardon Outreach,60,Pikes Peak,1/3/2017,Closure,,
Company,Layoff Total,Workforce Region,WARN Date,Reason for Layoff,,
Conduent Inc.,244,Arapahoe Douglas,5/19/2017,Downsize,,
Dollar Express,37,Various,3/30/2017,Closure,,
Express Scripts,338,Pueblo,2/22/2017,Closure,,
First Data,201,Arapahoe Douglas,10/13/2017,Reduction in Force,,
First Data - Update 1/2/18,149,Arapahoe Douglas,1/2/2018,Reduction in Force,,
K-Mart Corporation Store #04332,81,Pikes Peak,1/4/2018,Closure,,
Lockheed Martin,79,Pikes Peak,11/1/2017,Reduction in Force,,
Multi Packaging Solutions,98,Arapahoe Douglas,7/25/2017,Closure,,
National Ecological Observatory Network dba Battelle Ecology,55,Boulder,11/6/2017,Reduction in Force,,
National Planning Holdings Inc.,13,Denver,12/14/2017,Sale of business/Reduction in Force ,,
National Planning Holdings Inc.,42,Denver,8/30/2017,Sale of business/Reduction in Force ,,
Northrop Grumman,50,Pikes Peak,11/2/2017,Reduction in Force,,
Northrop Grumman - Updated 1/2/18,85,Pikes Peak,1/2/2018,Other - Loss of Contract,,
Pinnacle Foods,27,Boulder,1/5/2017,Closure,,
Savers,62,Arapahoe Douglas,3/2/2017,Closure,,
TD Ameritrade Holding Corporation,84,Adams,12/6/2017,Company Reorganization/Downsize,,
TD Ameritrade Holding Corporation,32,Adams,10/10/2017,Company Wide Reorganization,,
UnitedHealth Group,119,Arapahoe Douglas,2/15/2017,Downsize,,
