Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
3/8/20,ITA,Italy,Molise,41.597834,14.548702,14,0,0,14,6,2,TRUE,TRUE,ITF2
3/8/20,ITA,Italy,Piemonte,45.060965,7.926836,360,5,0,355,290,45,TRUE,TRUE,ITC1
3/8/20,ITA,Italy,Puglia,40.984631,16.620464,40,3,1,36,20,3,TRUE,TRUE,ITF4
3/8/20,ITA,Italy,Sardegna,40.090225,9.036223,11,0,0,11,5,0,TRUE,TRUE,ITG2
3/8/20,ITA,Italy,Sicilia,37.587635,14.155497,53,0,2,51,18,0,TRUE,TRUE,ITG1
3/8/20,ITA,Italy,Toscana,43.459993,11.136697,166,0,1,165,98,7,TRUE,TRUE,ITI1
3/8/20,ITA,Italy,Trento,46.139153,10.830791,23,0,0,23,9,2,TRUE,TRUE,ITH2
3/8/20,ITA,Italy,Umbria,42.966781,12.49094,26,0,0,26,4,2,TRUE,TRUE,ITI2
3/8/20,ITA,Italy,Valle d'Aosta,45.732414,7.393651,9,0,0,9,1,0,TRUE,TRUE,ITC2
3/8/20,ITA,Italy,Veneto,45.664735,11.84235,670,18,29,623,193,47,TRUE,TRUE,ITH3
3/9/20,ITA,Italy,Abruzzo,42.228034,13.855137,30,0,0,30,25,0,TRUE,TRUE,ITF1
3/9/20,ITA,Italy,Basilicata,40.500665,16.082246,5,0,0,5,2,0,TRUE,TRUE,ITF5
3/9/20,ITA,Italy,Bolzano,46.697344,11.417082,9,0,0,9,8,0,TRUE,TRUE,ITH1
3/9/20,ITA,Italy,Calabria,39.225585,16.418474,11,0,2,9,8,0,TRUE,TRUE,ITF6
